id,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date
86265,N/A - From RDC,Air,N/A - From RDC,10-May-10,15-Feb-10,15-Feb-10
86266,N/A - From RDC,Air,N/A - From RDC,19-Mar-10,26-Feb-10,26-Feb-10
86267,N/A - From RDC,Air,N/A - From RDC,20-May-10,23-Dec-09,23-Dec-09
86268,N/A - From RDC,Truck,N/A - From RDC,15-Mar-10,5-Mar-10,5-Mar-10
86269,N/A - From RDC,Air,N/A - From RDC,28-Jun-10,1-Mar-10,1-Mar-10
86270,N/A - From RDC,Truck,N/A - From RDC,31-Mar-10,12-Mar-10,12-Mar-10
86271,N/A - From RDC,Air,N/A - From RDC,31-Mar-10,12-Mar-10,12-Mar-10
86272,N/A - From RDC,Air,N/A - From RDC,10-Mar-10,3-Mar-10,3-Mar-10
86273,N/A - From RDC,Air,N/A - From RDC,12-Mar-10,3-Mar-10,3-Mar-10
86274,N/A - From RDC,Air,N/A - From RDC,10-Mar-10,3-Mar-10,3-Mar-10
86275,N/A - From RDC,Truck,N/A - From RDC,28-Apr-10,28-Apr-10,28-Apr-10
86276,N/A - From RDC,Truck,N/A - From RDC,28-Apr-10,28-Apr-10,28-Apr-10
86277,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86278,N/A - From RDC,Air,N/A - From RDC,1-Apr-10,25-Mar-10,25-Mar-10
86279,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86280,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86281,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,31-Mar-10,31-Mar-10
86282,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86283,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86284,N/A - From RDC,Air Charter,N/A - From RDC,31-Mar-10,31-Mar-10,31-Mar-10
86285,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86286,N/A - From RDC,Air Charter,N/A - From RDC,19-Apr-10,31-Mar-10,31-Mar-10
86287,N/A - From RDC,Air Charter,N/A - From RDC,31-Mar-10,31-Mar-10,31-Mar-10
86288,N/A - From RDC,Truck,N/A - From RDC,1-Apr-10,25-Mar-10,25-Mar-10
86289,N/A - From RDC,Air,N/A - From RDC,6-Apr-10,1-Apr-10,1-Apr-10
86290,N/A - From RDC,Air,N/A - From RDC,21-Jul-10,21-Apr-10,21-Apr-10
86291,N/A - From RDC,Air,N/A - From RDC,21-Jul-10,21-Apr-10,21-Apr-10
86293,N/A - From RDC,Truck,N/A - From RDC,30-Apr-10,16-Apr-10,16-Apr-10
86294,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
86295,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
86296,N/A - From RDC,Truck,N/A - From RDC,21-Jun-10,14-Jun-10,14-Jun-10
86297,N/A - From RDC,Truck,N/A - From RDC,21-Jun-10,14-Jun-10,14-Jun-10
86298,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
86299,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
86300,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
86301,N/A - From RDC,Air Charter,N/A - From RDC,31-May-10,18-May-10,18-May-10
